,Adj_Close,atr,bullish,gap,r2,rank_score,slope,shares,rounded_shares,cost,cumulative_cost,weight,cumulative_weight
RLI,78.57,1.077988427380689,True,False,0.8618385950771711,1.54769027205126,1.7958006068557142,18.553074867970775,18,1414.2599999999998,57709.34233304631,0.07071299999999998,2.8854671166523165
KWR,198.74,4.471565340224749,True,False,0.8263505329981199,1.5469425691948129,1.8720173914359084,4.472706642590347,4,794.96,58504.30233304631,0.039748,2.9252151166523164
NEOG,89.4,2.333122532821764,True,False,0.8526651662488296,1.5405969021808632,1.8068017355024417,8.572203010619964,8,715.2,59219.50233304631,0.03576,2.960975116652316
CACI,186.35,3.5699553767989785,True,False,0.8859746885857042,1.532230371247754,1.7294290581751024,5.6023109224219825,5,931.75,60151.25233304631,0.0465875,3.007562616652316
GBX,60.3,1.270658213916902,True,False,0.7868600972386928,1.5291028232281385,1.9432969451547721,15.739873855101015,15,904.5,61055.75233304631,0.045225,3.052787616652316
AZZ,51.45,1.0257689808467243,True,False,0.6813639028731486,1.5203293976819827,2.2313031131692145,19.49756755511454,19,977.5500000000001,62033.30233304631,0.048877500000000004,3.101665116652316
EBS,65.96,1.850436992458246,True,False,0.7962995819620982,1.502967142157285,1.8874393208319207,10.808257769117901,10,659.5999999999999,62692.90233304631,0.032979999999999995,3.1346451166523157
LOCO,12.7,0.41520337715505723,True,False,0.7991109022903691,1.4727408260730623,1.8429742628363237,48.16916504157196,48,609.5999999999999,63302.50233304631,0.030479999999999997,3.1651251166523156
OFG,16.837446020974706,0.46183135880776405,True,False,0.7782157195375178,1.466161393676659,1.8840038267897972,43.30585097476012,43,724.0101789019124,64026.51251194822,0.03620050894509562,3.201325625597411
SSTK,52.5,1.483702730833114,True,False,0.7831561604080108,1.4472863498165676,1.8480175768042946,13.479789168258657,13,682.5,64709.01251194822,0.034125,3.235450625597411
AJRD,33.92,0.9689201558129461,True,False,0.688206285021142,1.4466436527728264,2.1020494643236,20.641535713765336,20,678.4000000000001,65387.41251194822,0.033920000000000006,3.269370625597411
HQY,92.46,2.878046507216985,True,False,0.7417420154370447,1.444442286623389,1.9473647933672784,6.949158031271569,6,554.76,65942.17251194821,0.027738,3.297108625597411
B,71.66,1.175577084738714,True,False,0.8168400889070662,1.4408880817478718,1.7639781657579798,17.012920938693902,17,1218.22,67160.39251194822,0.060911,3.358019625597411
VVI,59.9,0.9705497009765809,True,False,0.8657144748749527,1.432138865062397,1.6542854562634648,20.606878740857596,20,1198.0,68358.39251194822,0.0599,3.4179196255974107
ODP,3.31,0.108868314792153,True,False,0.5847343025350591,1.4285914895413785,2.443146371519266,183.70818027433594,183,605.73,68964.12251194821,0.0302865,3.4482061255974106
NP,92.1,1.4906997503246602,True,False,0.9479553471620646,1.4285722750241638,1.5070037626782138,13.416517977979261,13,1197.3,70161.42251194821,0.059864999999999995,3.5080711255974104
INDB,87.49746926970356,1.4955312271798904,True,False,0.7990427312938114,1.4032321746029595,1.7561415924913595,13.373174452340804,13,1137.4671005061462,71298.88961245435,0.056873355025307305,3.5649444806227177
EIG,46.8,0.8031344503085286,True,False,0.8494720152308717,1.3802022503455145,1.6247765972259833,24.90243071047057,24,1123.1999999999998,72422.08961245435,0.05615999999999999,3.6211044806227175
ROG,149.14,3.609048853011629,True,False,0.7126775447464961,1.3799642727580168,1.9363094613130807,5.541626288408559,5,745.6999999999999,73167.78961245435,0.037285,3.6583894806227173
ELY,22.71,0.44384159582931415,True,False,0.6987738788680943,1.3740055204025865,1.9663092195550629,45.061121327824566,45,1021.95,74189.73961245434,0.051097500000000004,3.7094869806227173
