,Adj_Close,atr,bullish,gap,r2,rank_score,slope
CMO,8.02,0.10677012859181427,False,False,0.775045111196548,0.5443088325629721,0.7022930984270642
CMTL,36.5,0.8890141023567729,True,False,0.5737982553815872,0.8036792857086306,1.400630410028291
CNMD,80.11,1.8303897356662087,True,False,0.8208070479994587,1.250766986484639,1.5238258364534216
CNSL,12.56,0.36502476309474813,True,False,0.16319697618117435,0.20519160419621674,1.2573247923933453
COHU,22.82,0.7797891880098341,False,False,0.027418703054364665,0.025040118820734873,0.913249571691497
COKE,178.57,4.6502620586713,True,False,0.9007797744395247,3.0308538241737266,3.364700130017415
COLB,38.71,0.6936293029339752,False,False,0.33648376037556804,0.2937882166974706,0.873112617291121
CORE,33.57,1.182683902000834,True,False,0.9072241294639327,7.205440089509964,7.942293260836843
CORT,13.58,0.6179340750068241,False,False,0.5404823083575614,0.21468186978373868,0.3972042497304348
CPF,26.81,0.41053748072301116,False,False,0.6658541673877996,0.5377257400301528,0.8075728385686838
CPS,120.87,3.2981481194325255,False,False,0.0067890482381524064,0.006554761978336079,0.9654905589711811
CPSI,26.6,0.6611117676417801,False,True,0.6540251636649437,0.29063823590603916,0.444383873974202
CRAY,21.1,0.7443398774258884,False,False,0.7368147069130225,0.35123921120639007,0.4766995119817175
CROX,21.26,0.6890449370853319,True,False,0.5618868312083817,0.9968425842866655,1.7740984997688545
CRR,7.9,0.39739975331399013,False,False,0.4521011282362481,0.2591256743777036,0.5731586545439806
CRVL,60.05,1.4180875950964131,True,False,0.8351870155642583,1.3182835064696192,1.5784291205473033
CRY,35.1,0.8905378764639196,True,False,0.922864422080133,2.1039840350975387,2.279840878853219
CRZO,25.51,0.9354430006278307,False,False,0.2254951637703404,0.15668435141026266,0.6948457287972732
CSGS,40.22,0.872773921978532,True,False,0.3219180056779266,0.2463851053243007,0.7653660279282567
CTB,28.85,0.8242816813300837,True,False,0.6619047290159993,1.089111076635472,1.6454196939407972
CTRE,17.1,0.3258366296421502,True,False,0.7717403784739303,1.1445272392611427,1.4830469821008665
CTRL,34.58,1.1893590296779597,True,False,0.7757867174577939,2.9287955341827003,3.7752586739048404
CTS,35.0,0.7951052449161808,False,False,0.3180868618527659,0.4058744394552185,1.275986179030202
CUB,71.35,1.648150897224453,True,False,0.3886102780112751,0.5177185525177206,1.3322307252581196
CUBI,23.54,0.5016352831703944,False,False,0.8767089488577273,0.363326582921408,0.41442098132429217
CUTR,31.25,1.4128549061609927,False,True,0.7462712725754477,0.23680128742645112,0.31731261289105916
CVBF,22.4,0.3784136052958655,False,False,0.166306680318563,0.18419752423346922,1.1075774219089458
CVCO,253.5,6.9753881749751185,True,False,0.7634568913939669,1.609695376481452,2.1084299514834037
CVGW,95.5,2.7083105300728927,False,False,0.6458293728194284,1.016191241993091,1.573467056099993
CWT,41.5,0.6951120224708772,True,False,0.5330292848435199,0.623234971863524,1.1692321408691186
CYH,3.47,0.19723994521492688,False,False,0.27683506075235753,0.13097652268952836,0.4731211513945239
CYTK,9.3,0.450828563056752,True,False,0.2245823493700515,0.1431493141202677,0.637402336033078
DAKT,7.83,0.2070077979447363,False,False,0.3776901159766296,0.26597893637809217,0.704225303037981
DAR,18.89,0.3629965310222822,False,False,0.031854072987560045,0.0335883555515185,1.0544446094738258
DBD,4.55,0.4146265683536125,False,True,0.767063866413395,0.015307262307763973,0.01995565555621467
DCOM,17.3,0.3411138042634905,False,False,0.6934309469554356,0.43740058517761626,0.6307774221760057
DDD,19.08,0.9461937810804049,True,True,0.6700167058519941,2.7426059360768535,4.0933396318668684
DEA,19.05,0.3308585781601285,False,False,0.019146343573243074,0.01958407034565706,1.0228621601163423
DF,7.34,0.2143106728778994,False,False,0.6566512281318351,0.23245031971082056,0.35399358099449374
DFIN,18.75,0.5992784367210333,True,False,0.6854143398183057,1.4458097348047916,2.10939522389925
DGII,13.45,0.33557392988633117,True,False,0.1628997290519808,0.1959949828122793,1.2031633444260543
DIN,82.51,2.7573460387055526,True,False,0.6192073366354962,1.226102560267828,1.9801163321641777
DIOD,32.75,0.8920596915254968,False,False,4.102414263629228e-05,4.1144493920575465e-05,1.0029336697015263
DNR,6.14,0.2665847698092491,True,False,0.6057199053105844,1.3388379921847675,2.2103252352228298
DORM,78.38,2.0375886015640754,True,False,0.8959214697691746,1.6956183527153665,1.892597074554119
DPLO,19.29,0.7630394821898265,False,False,0.6729020150093962,0.23204182489133401,0.34483746476534755
DRH,11.67,0.1907958206363968,False,False,0.592433849969046,0.4942404035177585,0.8342541594197934
DSPG,11.9,0.2835829414219617,False,False,0.08025090828117043,0.07229074500740615,0.9008090569408296
DSW,33.84,0.9339138608087826,True,True,0.8185319134386413,1.8558289309346712,2.2672652103915647
DXPE,39.98,1.487361196435232,False,False,0.40258680925031637,0.6096568368066597,1.5143487635423083
EBIX,78.0,1.8738661649469517,False,False,0.18960134126699568,0.21641121843887054,1.1414013054587062
EBS,65.45,1.8456059164088896,True,False,0.8076307490251345,1.5891601591518212,1.9676815934386425
ECHO,33.15,1.162707241733956,True,False,0.8057786015662429,1.5688360103598358,1.9469814751972687
ECOL,74.2,1.68448482385718,True,False,0.9613863798282127,2.004248922341346,2.084748613454956
ECPG,37.2,0.9911719339688594,False,False,0.04200680059035011,0.03887509895104202,0.9254477466672977
EE,57.3,0.9767935611450215,False,False,0.4968214215690776,0.6538219280202966,1.316009937645955
EFII,33.82,0.8090593343341975,False,False,0.01330568102792351,0.012992645315689135,0.9764735294963532
EGHT,21.35,0.648394012716388,True,True,0.5247100530362903,0.8421768026994056,1.6050327182146795
EGL,35.44,0.9923258088506796,True,False,0.6821397760573257,1.1400437050508903,1.6712758074894658
EGOV,14.5,0.5382033031830809,False,False,0.03215281922553981,0.03450373626334556,1.0731169799237499
EGP,93.4,1.439411351877106,False,False,0.4447086470128079,0.5093777775895771,1.145419098574233
EGRX,68.27,2.7301992873142695,False,False,0.0013039749979641968,0.0013403538244632766,1.0278984079877878
EHTH,27.93,1.2242058177999462,True,False,0.7994158904284429,2.145362816699823,2.6836629624037456
EIG,45.0,0.8094748993332743,True,False,0.8532330345394351,1.3906698835821458,1.6298828424204328
ELY,23.69,0.48379118822415823,True,False,0.7012537441788053,1.3849156296295482,1.9749137043843337
ENDP,16.15,0.6018071042442268,True,False,0.9178738409795733,18.094392211270115,19.713376069155014
ENSG,37.66,0.9509372439468529,True,False,0.010227450631010937,0.010503145100373642,1.0269563236537915
ENTA,85.72,4.0364505207847285,False,False,0.38938479997041836,0.18676665388431218,0.4796454661263123
ENVA,29.55,1.1186735053998103,False,False,0.22426019619179538,0.16531020713797773,0.7371357465352367
EPAY,71.28,1.7174302576187,True,False,0.958589593481665,3.215549327103424,3.3544588309417405
ERA,12.35,0.45208845881352,False,False,0.24424007491961364,0.19020061825048368,0.7787445132134196
ESE,66.45,1.0946751955759197,True,False,0.8879098692806676,1.673631949743028,1.8849119799725915
ESIO,16.92,0.7317804089391647,False,True,0.04027908310198347,0.05059453732780084,1.2560995293686166
ESND,12.8,0.3742919006042238,False,False,0.004120802257663869,0.004295582664016856,1.0424141697233664
ETH,21.45,0.5332129760828133,False,False,0.6357759379588098,0.44473298320130566,0.6995121341476731
EVTC,23.6,0.5794400286595617,True,False,0.6754025186113082,0.9466441146103096,1.4015999178633505
EXLS,66.11,1.0296395906235487,True,False,0.6902341774473377,0.9951549784599161,1.4417642750468447
EXPO,52.4,1.2215072771342428,True,False,0.5823740904804036,0.7407301106544685,1.2719146039677627
EXPR,11.18,0.43681102318610476,True,False,0.5080757380031781,0.7858960191789731,1.5468087932473904
EXTN,25.9,0.7581557208848946,False,False,0.14539226981795117,0.12428126748730102,0.854799692190763
EXTR,5.54,0.27913539600388404,False,True,0.7833975836041918,0.16848130332762745,0.21506487491637694
EZPW,10.95,0.3363146324808687,False,False,0.8571141144906838,0.4702027971163025,0.548588325833028
FARO,64.6,1.5543578406400036,True,False,0.7034191000025181,1.482627962517206,2.107744817437995
FBP,8.97,0.20588961796566974,True,False,0.7382998156176362,1.120212578082339,1.5172868181542314
FCF,15.95,0.26552280404645046,False,False,0.3839514634584633,0.46675121701964656,1.2156516160020854
FCFS,83.5,1.6326699875499222,False,False,0.6897558784982503,0.41176966812628624,0.5969788456501437
FCN,73.14,1.5897886418014582,True,False,0.6662886139765938,1.4278968739748459,2.1430605956970576
FCPT,25.03,0.42075505753299447,True,False,0.7861682748732876,1.3694809238544545,1.7419692038262211
FELE,47.0,1.114934412583837,False,False,0.42021177137494786,0.5060518036398068,1.2042780286330088
FF,17.88,0.5992379484558537,True,False,0.4717853709557497,0.7778855643288765,1.648812388466019
FFBC,29.45,0.5836130381317093,False,False,0.43611065010128214,0.37038180333099524,0.849284013690053
FFIN,58.95,0.9579027909776601,True,False,0.7904841866514127,1.3243700164164462,1.6753909044362278
FIX,54.75,1.0710456836471434,True,False,0.7723190122623557,1.5984875809911312,2.0697244993473336
FLOW,52.12,1.2424816156351783,True,False,0.6102395057674539,0.9252295487362062,1.5161744528037597
FMBI,26.83,0.4248436560362988,True,False,0.3550301340301182,0.3950916134059329,1.112839659329921
FN,45.93,1.1470445172445465,True,False,0.8497843938536604,2.073508293157997,2.44004044808932
FNSR,18.48,0.6561228600981809,True,False,0.5108682932868924,0.7610690615742506,1.489755914734076
FORM,12.95,0.4884930183492354,False,False,0.0057044468898928,0.005530052213037415,0.9694282933610303
FORR,46.1,1.0335584442250463,True,False,0.6838870943869373,1.0324086677521578,1.509618585035076
FOSL,23.53,1.432069563856426,False,False,0.05841571678987511,0.04506340725154898,0.7714260772258398
FOXF,69.85,1.9031072238982585,True,False,0.9450852738261538,6.141281718096164,6.4981244424996065
FRAN,3.91,0.36213289580261393,False,True,0.16245806790809258,0.06815528384081362,0.4195253871871178
FRGI,26.55,0.9125809236114792,False,False,0.2198923745817941,0.29402437778553625,1.3371285763989376
FSB,39.5,0.6957136497606181,True,False,0.5602033585538388,0.7153987219058019,1.2770339752203537
FSP,7.74,0.18988405169259076,False,False,0.079882115516692,0.08931213827987022,1.1180492367056523
FSS,26.53,0.5051354391837113,True,False,0.6091040254003428,0.8896035742616593,1.4605117306144118
FTD,2.6,0.23866422365106713,False,False,0.8688451506800465,0.09249442516975903,0.10645674329581456
FTK,2.44,0.15986061153414202,False,True,0.7195840297064416,0.16268393816605123,0.22608052909737178
FTR,6.48,0.30681980665215947,True,False,0.2887904217460998,0.11603778256918386,0.4018062021156731
FUL,56.94,0.945903871533805,True,False,0.7109371257728261,0.9420515842570883,1.3250842445919935
FWRD,69.3,1.2748807325694667,True,False,0.6932570935379581,1.0233499591524369,1.476147837059824
GBCI,42.99,0.6981863843813368,True,False,0.765804735561862,1.2509840233279537,1.6335548283207222
GBX,60.0,1.2498180861570036,True,False,0.7892933173427572,1.5362374934485237,1.9463454962730917
GCI,10.1,0.24100758482517706,False,False,0.24003268372665076,0.21097788953268537,0.8789548417204176
GCO,47.25,1.870018630998389,True,False,0.3297072020040501,0.4836827801543078,1.4670070208183268
GDOT,87.29,2.1006691295580158,True,False,0.868026440922076,1.541044833925166,1.7753431937950697
GEOS,13.22,0.4524476289343896,False,False,0.1409676743157413,0.18509333191867722,1.3130196892097592
GES,22.84,0.8377425019367021,True,False,0.042519645195782885,0.04629768721699387,1.0888540345013438
GFF,16.5,0.5142708605460157,False,False,0.47152057416718407,0.25217897798613437,0.5348207306362858
GHL,27.35,0.7641161235930131,False,False,0.0027152130393592877,0.0028124755114305395,1.0358213041339117
GIFI,9.35,0.3620817109561224,False,False,0.2287938367659914,0.18451959464100043,0.8064884843455187
GIII,47.29,1.6725979424838027,True,True,0.10241148036912329,0.12067790573477535,1.1783630633969366
GLT,19.5,0.5384392506671611,True,False,0.016950242705903618,0.018542855319471148,1.0939581008484816
GME,15.59,0.6450056975674099,True,False,0.5500888935176254,0.9846498020288981,1.789983062069129
GNBC,22.05,0.5384594778817863,False,False,0.1783993015792259,0.21107175510832127,1.183142272642731
GNL,20.22,0.3778696835162531,True,False,0.7117905564600602,1.0451057288016967,1.4682770364351405
GOV,11.09,0.5513928047415788,False,True,0.02982743628923612,0.03569484520509514,1.1967118078457317
GPI,66.03,2.1440212520418385,False,False,0.14175050819763213,0.1754981520668146,1.2380777628121844
GPMT,19.02,0.21316810132388606,True,False,0.8552662579252506,1.0482155814870495,1.2256014682841172
GPRE,17.35,0.6099879446748625,False,False,0.39845150350234876,0.22815008862327216,0.5725918627934786
GTLS,76.04,1.8807797437303644,True,False,0.548393493364943,0.9722671503463566,1.7729370645529077
GTY,27.88,0.4391727652095079,True,False,0.6772715743390508,0.9732026243672177,1.4369459183592135
GWB,42.36,0.756650552142595,False,False,0.012153665817034476,0.011832478228867495,0.9735727810026826
HA,39.15,1.1062089153245842,True,False,0.3097997698535122,0.41003955776318346,1.323563145179447
HAFC,24.9,0.5375775703960819,False,False,0.7222013792690011,0.4129987793034183,0.5718609672574262
HAYN,35.01,1.1243781125958108,False,False,0.4446144444794664,0.3039724731589271,0.6836765582701744
HCI,42.88,0.955034290579197,True,False,0.11537296397375807,0.10672305684525456,0.9250265674853343
HF,43.13,1.017000912230103,True,False,0.7675206772501746,2.2406953139464023,2.9193940702343375
HFWA,35.45,0.6203356823367059,True,False,0.8018751686081228,1.1577504004439345,1.4438037811465494
HI,51.75,0.8192652250103734,True,False,0.8398046052420781,1.2292019124237215,1.4636760798297808
HIBB,19.95,1.0730666544772995,False,True,0.412308794031374,0.21731217409444156,0.5270617004543093
HLIT,5.4,0.1880098278845339,True,False,0.8507575202285356,2.3369863159514983,2.7469475853986256
HLX,9.49,0.3073356451663335,True,False,0.6819781217901429,1.4343398978581159,2.103205149885275
HMN,45.25,0.7405510678913716,True,False,0.25521668926315855,0.2825054477241491,1.1069238792328844
HMST,27.05,0.634332047354085,False,False,0.12186705722092418,0.13536839774511794,1.1107874501286934
HMSY,32.43,0.7088567254279431,True,False,0.8812977475293349,3.982457827451178,4.518856241963353
HOPE,16.25,0.3001529323990225,False,False,0.6319548051051169,0.49444538419125017,0.7824062420239151
HPR,4.9,0.28131755853697266,False,False,0.6120704373573904,0.24477103985801046,0.3999066527617436
HQY,93.28,2.689666999125163,True,False,0.7377688819164815,1.424877521582019,1.9313331810372034
HSC,28.25,0.7279737822429407,True,False,0.43931441350519485,0.7464909735009079,1.6992180328089344
HSII,34.35,1.1534541382529502,False,False,0.07447230581335129,0.09306458515560656,1.249653601284386
HSKA,110.01,3.5021995770782466,True,False,0.007411089164890306,0.007625350301212396,1.0289108836170993
HSTM,30.47,0.6976760169254153,True,False,0.7204557230835131,1.0421835173585168,1.4465615081771097
HT,22.66,0.3791454140345518,True,False,0.7624092494748241,1.1023623508841947,1.4458932019037583
HTLD,19.86,0.49942561798875734,True,False,0.5531588302250126,0.7329549949275485,1.3250353332141491
HUBG,45.85,1.2709884197216952,False,False,0.04796907501906367,0.04400875759250236,0.9174401961057742
HVT,21.25,0.49326280648011167,True,False,0.30013482378008083,0.3628721699656597,1.2090305463239037
HWKN,41.2,1.1162556596193838,True,False,0.7962583700612771,1.5878505241127479,1.9941398217145934
HZO,21.55,0.7892200344445386,False,False,0.0439011132785988,0.03706913232239046,0.8443779565941248
IBP,40.45,1.8731445257464223,False,False,0.9069478088042848,0.3176346204242289,0.35022370343779397
ICHR,19.98,0.9469874090223964,False,False,0.0852907108979657,0.0686675903626771,0.8051004574791851
IIIN,34.63,1.0912723079265056,False,False,0.43684908218741547,0.8396408764967196,1.9220387789128965
IIVI,46.35,1.4742605216864595,True,False,0.07495019915710055,0.0869550441168263,1.1601709547770886
INDB,83.65,1.5552237198336671,False,False,0.7093565011783824,1.1661745371157834,1.643989355392578
